d18o,age,1,2,3,4,6
-133.19,192.5,0.19073152,0.218690157,0.296438146,0.180390655,0.113749521
-179.388,297.4,0.183366337,0.142970297,0.413069307,0.177029703,0.083564356
-184.665,298.4,0.253944773,0.142751479,0.346646943,0.175542406,0.081114398
-174.213,391.1,0.309665598,0.103527256,0.3591388,0.155748969,0.071919377
-201.174,392.2,0.265765766,0.083333333,0.423423423,0.117117117,0.11036036
-166.4505,492,0.298650414,0.125816282,0.226817588,0.196778407,0.15193731
-186.8226667,679.6,0.152054795,0.116438356,0.235159817,0.228310502,0.26803653
-184.9056667,795,0.07,0.1025,0.0875,0.24,0.5
-187.177,796.1,0.162989934,0.155279503,0.215035339,0.20411223,0.262582994
-205.453,893.7,0.132885212,0.17114788,0.2114788,0.257497415,0.226990693
-195.695,967.9,0.236,0.114666667,0.225333333,0.294,0.13
-181.606,968.4,0.259060745,0.11740684,0.277437468,0.210056151,0.136038795
-187.228,1054.8,0.265963679,0.121851201,0.282366725,0.176918571,0.152899824
-205.853,1055.6,0.297721519,0.098734177,0.338227848,0.115949367,0.149367089
-190.512,1193.6,0.147766323,0.116838488,0.347079038,0.23161512,0.156701031
-196.99,1244.8,0.079254079,0.252913753,0.162004662,0.241258741,0.264568765
-163.82,1357.5,0.122644163,0.16230661,0.284950774,0.257946554,0.172151899
-182.936,1456.6,0.170326409,0.083877349,0.304648863,0.27537092,0.165776459
-194.0625,1457.7,0.194582094,0.060125537,0.455896928,0.172117608,0.117277833
-168.58,1550.4,0.212121212,0.057092666,0.304787,0.300395257,0.125603865
-200.915,1805.6,0.099313531,0.079168538,0.623275807,0.142362225,0.0558799
-180.803,1922.7,0.137197359,0.055025679,0.261188555,0.439471753,0.107116654
-177.59,2237.3,0.203115067,0.056897648,0.460902734,0.16719644,0.111888112
-199.3755,2673.6,0.096997691,0.064665127,0.184757506,0.524249423,0.129330254
-139.178,2870.9,0.146443515,0.084728033,0.267782427,0.382845188,0.118200837
-184.167,2872.7,0.172661871,0.074340528,0.303357314,0.321342926,0.128297362
-211.558,2996,0.137555982,0.069737684,0.284069098,0.378119002,0.130518234
-231.781,3533.8,0.183333333,0.133333333,0.225,0.316666667,0.141666667
-189.884,3727.2,0.176605505,0.055045872,0.440366972,0.236238532,0.091743119
-195.024,3729,0.173423423,0.060810811,0.400900901,0.252252252,0.112612613
-209.412,3866.3,0.184738956,0.047858099,0.377844712,0.302878179,0.086680054
-205.482,4022.7,0.139344262,0.147540984,0.270491803,0.327868852,0.114754098
-238.217,4308.8,0.161320755,0.06509434,0.408018868,0.183962264,0.181603774
-234.214,4520.5,0.159090909,0.152597403,0.288961039,0.253246753,0.146103896
-207.836,4911.2,0.189266269,0.064039409,0.544118918,0.138190303,0.064385101
-185.0845,4912.3,0.172477064,0.083914373,0.455779817,0.196941896,0.09088685
-190.878,5008.5,0.062770563,0.192640693,0.12987013,0.346320346,0.268398268
-198.4725,5401.5,0.161765904,0.053514702,0.559501507,0.16453531,0.060682577
-220.54,5483.8,0.148669576,0.064761368,0.521329016,0.180909475,0.084330565
-199.299,5551.9,0.170481084,0.070527791,0.473143391,0.183559085,0.10228865
-185.6995,5711.5,0.085110508,0.147537805,0.217138426,0.263861962,0.286351299
-191.2385,5712.6,0.058673469,0.256377551,0.121173469,0.418367347,0.145408163
-175.576,5910.7,0.159749413,0.104541895,0.385277995,0.221613156,0.128817541
-184.148,5999.9,0.15432006,0.053493614,0.536889557,0.190082645,0.065214125
-190.5635,6098.4,0.048165138,0.45412844,0.14793578,0.120412844,0.229357798
-169.901,6199.4,0.107905138,0.121212121,0.324242424,0.317786561,0.128853755
-212.589,6200.5,0.119135802,0.120061728,0.296604938,0.294753086,0.169444444
-189.88,6288.7,0.114020951,0.088638195,0.419419823,0.25463336,0.123287671
-213.0345,6289.7,0.128023599,0.083775811,0.481268437,0.213126844,0.09380531
-184.632,6571.4,0.152933929,0.036500847,0.663483752,0.109040505,0.038040967
-188.0325,6572.5,0.124757595,0.086942469,0.373626374,0.262766645,0.151906917
