d18o,age,11,13,14,15,16,18,,,
-133.19,192.5,0.132048966,0.235400361,0.072245635,0.111780052,0.0692354,0.379289585,,,
-205.453,893.7,0.114625977,0.11183476,0.207480461,0.152214365,0.073502047,0.340342389,,,
-196.99,1244.8,0.064031438,0.050855294,0.089921405,0.043920481,0.105871475,0.645399908,,,
-163.82,1357.5,0.097877358,0.149764151,0.190363881,0.147237197,0.048180593,0.366576819,,,
-180.803,1922.7,0.154854911,0.067522321,0.258649554,0.156529018,0.032924107,0.329520089,,,
-177.59,2237.3,0.044271087,0.119258898,0.059483179,0.07810824,0.045343735,0.653534861,,,
-199.3755,2673.6,0.086044521,0.070633562,0.181506849,0.157534247,0.064212329,0.440068493,,,
-199.3755,2673.6,0.052782859,0.067677032,0.082048602,0.08570682,0.040501698,0.671282989,,,
-139.178,2870.9,0.16415718,0.06940874,0.280572898,0.200146897,0.034887991,0.250826295,,,
-184.167,2872.7,0.099386503,0.061840491,0.187239264,0.154601227,0.03803681,0.458895706,,,
-211.558,2996,0.07007922,0.134673979,0.193784278,0.139244363,0.087446679,0.374771481,,,
-189.884,3727.2,0.110493398,0.111188325,0.128561501,0.216817234,0.031271716,0.401667825,,,
-195.024,3729,0.113189601,0.07736208,0.146797717,0.218769816,0.03170577,0.412175016,,,
-205.482,4022.7,0.230769231,0.079881657,0.215976331,0.091715976,0.041420118,0.340236686,,,
-234.214,4520.5,0.041023277,0.039179534,0.059460705,0.029269417,0.066605209,0.764461858,,,
-190.878,5008.5,0.1400818,0.035787321,0.307770961,0.235173824,0.021472393,0.259713701,,,
-206.618,5551.9,0.117892708,0.119820109,0.16350787,0.114680373,0.045293929,0.438805011,,,
-175.576,5910.7,0.097668441,0.090875711,0.140627869,0.111804663,0.037084634,0.521938682,,,
-190.5635,6098.4,0.053135889,0.099738676,0.033536585,0.120644599,0.092334495,0.600609756,,,
-184.632,6571.4,0.108482523,0.129582268,0.148124467,0.140025575,0.061167945,0.412617221,,,
-170.622,6649.5,0.105902778,0.097222222,0.144675926,0.112268519,0.063657407,0.476273148,,,
-208.926,7737.5,0.110259301,0.103043968,0.165952649,0.120180383,0.059301015,0.441262683,,,
-191.543,7837.3,0.164711573,0.130608296,0.194944975,0.120328939,0.058048132,0.331358084,,,
