SST (°C),Age (wmean),age,1,2,3,4,6
2.778559278,64.7,64.7,0.216612378,0.263843648,0.231270358,0.17752443,0.110749186
1.614447405,65.9,65.9,0.259803922,0.220588235,0.285947712,0.137254902,0.096405229
2.487420419,192.5,192.5,0.19073152,0.218690157,0.296438146,0.180390655,0.113749521
2.30927837,297.4,297.4,0.183366337,0.142970297,0.413069307,0.177029703,0.083564356
1.73305137,298.4,298.4,0.253944773,0.142751479,0.346646943,0.175542406,0.081114398
1.832103424,391.1,391.1,0.309665598,0.103527256,0.3591388,0.155748969,0.071919377
1.832103424,391.1,391.1,0.324199596,0.105855206,0.341794058,0.150274012,0.077877127
1.773648625,392.2,392.2,0.265765766,0.083333333,0.423423423,0.117117117,0.11036036
1.970813013,492,492,0.298650414,0.125816282,0.226817588,0.196778407,0.15193731
1.802975331,601.7,601.7,0.180094787,0.153238547,0.289099526,0.260663507,0.116903633
2.80815532,603.1,603.1,0.23796034,0.117563739,0.376770538,0.196883853,0.07082153
2.041324056,678.9,678.9,0.114956012,0.120821114,0.170674487,0.273900293,0.319648094
2.76005871,679.6,679.6,0.152054795,0.116438356,0.235159817,0.228310502,0.26803653
1.08655747,795,795,0.07,0.1025,0.0875,0.24,0.5
1.943790455,796.1,796.1,0.162989934,0.155279503,0.215035339,0.20411223,0.262582994
3.319262022,893.7,893.7,0.132885212,0.17114788,0.2114788,0.257497415,0.226990693
1.043396189,967.9,967.9,0.236,0.114666667,0.225333333,0.294,0.13
2.334826551,968.4,968.4,0.259060745,0.11740684,0.277437468,0.210056151,0.136038795
0.606700125,1054.8,1054.8,0.265963679,0.121851201,0.282366725,0.176918571,0.152899824
1.418911154,1055.6,1055.6,0.297721519,0.098734177,0.338227848,0.115949367,0.149367089
1.717704486,1244.8,1244.8,0.079254079,0.252913753,0.162004662,0.241258741,0.264568765
2.114045563,1245.8,1245.8,0.129032258,0.25,0.233870968,0.258064516,0.129032258
2.240529568,1357.5,1357.5,0.122644163,0.16230661,0.284950774,0.257946554,0.172151899
0.767742179,1456.6,1456.6,0.170326409,0.083877349,0.304648863,0.27537092,0.165776459
0.468791813,1457.7,1457.7,0.194582094,0.060125537,0.455896928,0.172117608,0.117277833
1.933019362,1550.4,1550.4,0.212121212,0.057092666,0.304787,0.300395257,0.125603865
1.106233546,1703.4,1703.4,0.188688689,0.114614615,0.304804805,0.238738739,0.153153153
1.893768805,1704.6,1704.6,0.160691145,0.117062635,0.254859611,0.245788337,0.221598272
2.34085723,1805.6,1805.6,0.099313531,0.079168538,0.623275807,0.142362225,0.0558799
2.346494164,1921.5,1921.5,0.104025328,0.07960199,0.178652194,0.365897784,0.271822705
1.080375169,1922.7,1922.7,0.137197359,0.055025679,0.261188555,0.439471753,0.107116654
1.493366466,2059.4,2059.4,0.166979362,0.138836773,0.243902439,0.290806754,0.159474672
0.593680457,2061.1,2061.1,0.194794291,0.115869018,0.265323258,0.273719563,0.150293871
1.110856733,2237.3,2237.3,0.203115067,0.056897648,0.460902734,0.16719644,0.111888112
2.107669639,2673.6,2673.6,0.096997691,0.064665127,0.184757506,0.524249423,0.129330254
2.107669639,2673.6,2673.6,0.162412993,0.051044084,0.262180974,0.426914153,0.097447796
1.335900052,2870.9,2870.9,0.146443515,0.084728033,0.267782427,0.382845188,0.118200837
1.834473071,2872.7,2872.7,0.172661871,0.074340528,0.303357314,0.321342926,0.128297362
1.489657353,2994.3,2994.3,0.2,0.035789474,0.37754386,0.301754386,0.084912281
1.990310167,2996,2996,0.137555982,0.069737684,0.284069098,0.378119002,0.130518234
1.212542672,3203.7,3203.7,0.138188976,0.075984252,0.263779528,0.392519685,0.129527559
1.718458312,3206.3,3206.3,0.292592593,0.133333333,0.162962963,0.292592593,0.118518519
1.32397759,3531.1,3531.1,0.13753878,0.079627715,0.248190279,0.427094105,0.107549121
1.32397759,3531.1,3531.1,0.227176221,0.087048832,0.225053079,0.377919321,0.082802548
2.499574813,3533.8,3533.8,0.183333333,0.133333333,0.225,0.316666667,0.141666667
0.916216477,3727.2,3727.2,0.176605505,0.055045872,0.440366972,0.236238532,0.091743119
1.930483582,3729,3729,0.173423423,0.060810811,0.400900901,0.252252252,0.112612613
1.977439216,3864.7,3864.7,0.196452037,0.046649146,0.449408673,0.252956636,0.054533509
0.414771781,3866.3,3866.3,0.184738956,0.047858099,0.377844712,0.302878179,0.086680054
2.763040627,4022.7,4022.7,0.139344262,0.147540984,0.270491803,0.327868852,0.114754098
2.012032655,4308.8,4308.8,0.161320755,0.06509434,0.408018868,0.183962264,0.181603774
0.880313377,4520.5,4520.5,0.159090909,0.152597403,0.288961039,0.253246753,0.146103896
2.070133373,4612.4,4612.4,0.130637255,0.092156863,0.408088235,0.253431373,0.115686275
0.873389768,4827.3,4827.3,0.189642041,0.089870526,0.368621478,0.25209444,0.099771516
1.89497773,4911.2,4911.2,0.189266269,0.064039409,0.544118918,0.138190303,0.064385101
2.457397884,4912.3,4912.3,0.172477064,0.083914373,0.455779817,0.196941896,0.09088685
1.530228665,5007.4,5007.4,0.104637337,0.165279429,0.20451843,0.323424495,0.202140309
1.865473531,5008.5,5008.5,0.062770563,0.192640693,0.12987013,0.346320346,0.268398268
1.384539348,5116.5,5116.5,0.102204409,0.164328657,0.204408818,0.344689379,0.184368737
1.384539348,5116.5,5116.5,0.139534884,0.164904863,0.192389006,0.310782241,0.192389006
1.423532334,5401.5,5401.5,0.161765904,0.053514702,0.559501507,0.16453531,0.060682577
0.993536664,5402.7,5402.7,0.063190184,0.170552147,0.16809816,0.398773006,0.199386503
1.091231191,5483.8,5483.8,0.148669576,0.064761368,0.521329016,0.180909475,0.084330565
1.120502165,5551.4,5551.4,0.128398792,0.090634441,0.444108761,0.261329305,0.075528701
1.120502165,5551.4,5551.4,0.123036649,0.081151832,0.463350785,0.253926702,0.078534031
2.962201274,5551.9,5551.9,0.170481084,0.070527791,0.473143391,0.183559085,0.10228865
2.955837635,5611.2,5611.2,0.131940907,0.106724401,0.355323484,0.285022924,0.120988283
3.358615781,5611.7,5611.7,0.133239832,0.104347826,0.3542777,0.27769986,0.130434783
1.149018585,5711.5,5711.5,0.085110508,0.147537805,0.217138426,0.263861962,0.286351299
1.076794587,5712.6,5712.6,0.058673469,0.256377551,0.121173469,0.418367347,0.145408163
1.27016284,5909.4,5909.4,0.107843137,0.107843137,0.303921569,0.266666667,0.21372549
0.83825743,5910.7,5910.7,0.159749413,0.104541895,0.385277995,0.221613156,0.128817541
0.916216477,5999.9,5999.9,0.15432006,0.053493614,0.536889557,0.190082645,0.065214125
